date,Convertible Arbitrage,CTA Global,Distressed Securities,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Global Macro,Long/Short Equity,Merger Arbitrage,Relative Value,Short Selling,Funds Of Funds
Jan-06,2.5,1.74,2.53,5.26,1.15,3.41,0.93,2.58,3.81,2.72,2.38,-2.88,2.86
Feb-06,1.16,-1.86,0.65,1.61,0.46,0.51,0.41,0.02,0.16,1.04,0.73,0.64,0.37
Mar-06,1.07,2.84,1.72,1.22,0.98,1.85,0.55,0.94,2.38,1.44,1.57,-1.39,1.64
Apr-06,0.64,3.87,1.93,3.65,1.02,1.64,1.21,2.38,1.72,1.19,1.26,-0.12,1.71
May-06,0.91,-1.46,0.86,-3.89,0.02,0.08,0.59,-1.55,-2.48,0.09,-0.25,2.46,-1.33
Jun-06,0.12,-1.42,-0.15,-0.97,0.63,0.12,0.36,-0.15,-0.62,0.87,0.21,1.18,-0.28
Jul-06,0.66,-2.16,0.09,0.67,0.51,-0.11,0.64,0.06,-0.31,0.58,0.17,1.73,-0.05
Aug-06,0.98,0.2,0.99,1.33,-0.09,1.12,0.37,-0.39,1.14,0.53,0.92,-1.56,0.66
Sep-06,0.93,-0.55,0.33,0.11,0.09,0.35,0.14,-0.67,0.05,0.41,0.4,-2.36,-0.03
Oct-06,0.54,1.02,1.94,2.57,0.65,2.06,0.67,0.97,1.94,1.32,1.32,-3.8,1.63
Nov-06,0.92,2.26,1.79,3.23,0.75,1.82,0.6,1.99,2,1.42,1.29,-2.68,1.85
Dec-06,1.27,1.46,1.65,2.91,1.07,1.68,0.72,1.16,1.53,1.33,1.28,0.39,1.75
Jan-07,1.3,1.13,1.5,0.79,0.83,2.01,0.69,0.61,1.21,1.91,1.35,-1.07,1.21
Feb-07,1.17,-1.44,1.45,1,0.51,2.07,1.06,0.18,0.82,2.55,1.14,0.28,0.96
Mar-07,0.6,-1.41,1.08,1.85,1.01,1.46,0.6,0.27,1.15,0.63,0.81,-0.51,0.96
Apr-07,0.26,2.41,1.64,2.55,0.89,1.97,0.71,1.52,1.98,1.6,1.34,-2.65,1.63
May-07,1.1,2.3,1.8,2.7,1.21,2.13,0.55,1.92,2.24,1.71,1.56,-1.99,2.04
Jun-07,0.11,2.29,0.27,2.36,0.77,-0.07,0.48,1.07,0.77,-0.53,1,2.36,0.82
Jul-07,-0.53,-1.22,-0.56,2.75,0.51,-0.32,0.07,1.16,0.09,-0.54,0.04,4.86,0.41
Aug-07,-1.45,-2.8,-1.18,-2.74,-0.94,-1.44,-0.48,-1.16,-1.6,0.01,-0.77,0.92,-2.22
Sep-07,1.61,4.69,0.95,4.28,1.23,1.34,1.64,3.3,2.56,1.31,1.53,-2.07,1.99
Oct-07,1.77,2.8,1.75,4.85,1.68,2.14,1.14,3.04,2.81,1.91,2,-0.26,3.03
Nov-07,-1.31,-0.16,-1.69,-2.37,-0.18,-2.02,-0.94,-0.63,-2.25,-1.49,-1.12,7.19,-1.48
Dec-07,-0.77,1.17,0.02,1.3,0.54,0.07,0.36,1.04,0.43,-0.25,0.22,0.56,0.4
Jan-08,-0.09,2.55,-2.33,-5.03,-1.12,-2.71,-0.12,-0.1,-4,-1.26,-1.18,5.56,-2.72
Feb-08,-0.83,6.2,0.14,2.8,1.2,0.84,-0.49,3.12,1.4,0.6,0.64,3,1.42
